S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Education,More than a bachelor's degree,55000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.8622,Diploma,City,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,300.228838979109
Healthcare,More than a bachelor's degree,75000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,0.6713,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,67.635024255323
Healthcare,More than a bachelor's degree,100000,More important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,1.2924,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,23.9535102336079
Education,Some college,30000,Equally important,Equally important,Equally important,Equally important,More important than salary,Less important than salary,Bachelor's degree,0.1017,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,25.1283470862844
Trades and technical,Don't know,35000,More important than salary,Equally important,Equally important,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",-0.4091,Diploma,Rural,South,Attained certificate,Not enrolled in postsecondary education and employed full-time,364.937981320913
Don't Know,Bachelor's degree,60000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.666,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,358.753782876677
Military and protective services,Bachelor's degree,100000,More important than salary,Less important than salary,Equally important,Equally important,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.2703,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,212.666101109888
Arts and entertainment,Bachelor's degree,150000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Bachelor's degree,0.2813,"GED, other HS equivalency, or certificate of attendance",Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,38.5453886385785
STEM,Bachelor's degree,85000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Less than high school,-1.2015,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,428.283400690104
Healthcare,Some college,15000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Less than high school,-0.562,No HS credential,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,725.642984532156
Healthcare,Don't know,45000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.2139,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,98.8863946848544
Healthcare,More than a bachelor's degree,95000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.6082,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,23.0754726512039
Education,Don't know,30000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.7679,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,116.431311576539
Business and Management,Bachelor's degree,45000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.0475,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,85.5272115767948
STEM,Bachelor's degree,100000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,1.8453,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,165.908965675515
Service,More than a bachelor's degree,100000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.013,Diploma,City,West,Attained certificate,Not enrolled in postsecondary education and employed full-time,981.959764418751
Education,More than a bachelor's degree,50000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Associate's degree,0.0496,Diploma,Suburb,Northeast,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,155.62282904594
Healthcare,More than a bachelor's degree,50000,Equally important,Equally important,More important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.2135,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,50.6338158741041
Service,More than a bachelor's degree,50000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Bachelor's degree,0.2787,Diploma,Rural,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,394.600681330845
Don't Know,More than a bachelor's degree,250000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.5297,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,539.469369934578
Other,Don't know,80000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,0.7578,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,276.956616587646
Don't Know,Some college,30000,More important than salary,Equally important,Less important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.7722,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,1312.45675453909
Don't Know,More than a bachelor's degree,100000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,0.4518,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,577.582782063602
